Name of Student,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
Student 1491,5,4,5,5,5,5,5,5,Employable
Student 1492,5,3,3,4,5,3,3,3,Employable
Student 1493,5,5,5,5,4,5,4,5,Employable
Student 1494,5,5,4,5,4,5,5,5,Employable
Student 1495,4,4,3,3,3,4,4,3,LessEmployable
Student 1496,5,5,5,5,5,4,4,5,Employable
Student 1497,5,5,5,5,5,4,4,5,Employable
Student 1498,5,4,5,5,5,4,4,3,Employable
Student 1499,5,4,5,5,5,4,4,5,Employable
Student 1500,4,3,4,3,4,3,3,5,LessEmployable
Student 1501,5,4,5,5,4,4,4,5,LessEmployable
Student 1502,5,3,4,4,3,4,3,5,LessEmployable
Student 1503,5,3,3,3,4,3,3,3,LessEmployable
Student 1504,5,4,5,5,5,4,4,5,Employable
Student 1505,5,5,5,5,5,4,4,3,Employable
Student 1506,5,4,5,5,5,4,4,5,Employable
Student 1507,5,5,5,5,4,5,4,5,Employable
Student 1508,5,4,5,5,5,4,4,5,Employable
Student 1509,5,5,5,5,5,5,4,5,Employable
Student 1510,5,4,5,5,4,4,4,3,Employable
Student 1511,5,3,4,4,4,4,3,5,LessEmployable
Student 1512,4,4,4,4,3,4,4,5,LessEmployable
Student 1513,5,4,5,5,5,4,4,4,Employable
Student 1514,4,5,4,4,4,5,4,5,Employable
Student 1515,4,3,3,3,3,3,3,5,Employable
Student 1516,4,4,4,4,5,4,4,5,LessEmployable
Student 1517,3,3,3,4,3,3,3,5,Employable
Student 1518,4,4,4,3,3,3,3,5,Employable
Student 1519,4,4,4,3,4,3,3,4,LessEmployable
Student 1520,4,4,4,4,4,4,4,4,Employable
Student 1521,3,3,3,4,3,3,3,5,Employable
Student 1522,5,5,3,5,3,5,5,5,Employable
Student 1523,4,4,4,4,4,4,4,5,Employable
Student 1524,4,5,5,5,5,5,5,5,Employable
Student 1525,4,4,4,4,4,4,4,4,Employable
Student 1526,4,3,3,3,3,3,3,5,Employable
Student 1527,3,4,3,4,3,4,3,5,Employable
Student 1528,4,4,4,4,4,4,4,5,LessEmployable
Student 1529,4,3,3,3,4,3,4,5,LessEmployable
Student 1530,4,4,4,4,3,4,3,4,Employable
Student 1531,3,4,4,4,3,4,3,5,Employable
Student 1532,5,4,4,4,4,4,4,5,Employable
Student 1533,4,4,4,3,3,4,4,5,Employable
Student 1534,3,4,4,3,4,4,3,5,LessEmployable
Student 1535,4,3,2,3,2,2,3,5,Employable
Student 1536,4,3,4,3,4,3,3,4,Employable
Student 1537,4,4,3,4,3,4,3,5,LessEmployable
Student 1538,4,4,4,4,3,3,3,5,Employable
Student 1539,5,3,3,4,3,3,3,4,LessEmployable
Student 1540,4,3,3,3,3,3,2,5,Employable
Student 1541,3,4,4,4,4,4,4,5,Employable
Student 1542,4,5,4,5,4,4,4,5,Employable
Student 1543,4,4,4,3,4,4,3,5,LessEmployable
Student 1544,4,4,4,4,3,4,4,5,Employable
Student 1545,5,5,5,5,5,5,4,5,Employable
Student 1546,3,3,3,3,3,2,2,4,Employable
Student 1547,4,4,4,4,4,4,3,5,LessEmployable
Student 1548,4,4,4,4,4,4,4,5,LessEmployable
Student 1549,4,3,3,3,3,3,2,5,Employable
Student 1550,5,4,4,4,4,4,4,4,Employable
Student 1551,3,3,3,3,3,3,3,5,LessEmployable
Student 1552,4,3,4,3,3,3,3,5,Employable
Student 1553,4,3,4,3,3,3,2,5,Employable
Student 1554,2,2,3,3,3,3,3,5,LessEmployable
Student 1555,4,4,3,4,3,4,3,4,LessEmployable
Student 1556,4,4,4,3,3,4,3,5,Employable
Student 1557,4,4,5,4,4,4,4,5,LessEmployable
Student 1558,5,4,4,4,4,3,3,5,LessEmployable
Student 1559,4,4,4,4,3,4,3,5,LessEmployable
Student 1560,4,4,4,4,4,4,4,5,LessEmployable
Student 1561,4,5,4,4,4,4,4,5,LessEmployable
Student 1562,5,5,4,5,5,5,5,5,Employable
Student 1563,4,4,4,4,4,4,4,5,Employable
Student 1564,5,4,4,4,4,4,3,4,LessEmployable
Student 1565,5,4,4,4,4,4,3,3,LessEmployable
Student 1566,5,5,4,4,5,4,5,3,LessEmployable
Student 1567,5,4,4,4,4,4,3,5,Employable
Student 1568,5,4,4,4,4,4,3,5,Employable
Student 1569,5,5,4,4,5,4,4,5,Employable
Student 1570,4,3,4,4,4,3,3,4,Employable
Student 1571,5,4,3,3,3,4,4,5,LessEmployable
Student 1572,5,5,5,5,5,5,5,5,Employable
Student 1573,5,4,5,5,5,5,4,5,Employable
Student 1574,5,4,5,5,5,5,4,5,Employable
Student 1575,5,3,5,4,4,3,3,5,Employable
Student 1576,5,4,5,5,5,4,4,4,Employable
Student 1577,5,3,5,4,4,4,3,4,LessEmployable
Student 1578,5,5,5,5,5,4,3,4,Employable
Student 1579,5,5,5,5,5,5,3,5,Employable
Student 1580,5,4,4,4,4,4,4,5,LessEmployable
Student 1581,4,3,4,4,4,3,3,5,LessEmployable
Student 1582,4,4,4,4,4,4,3,5,LessEmployable
Student 1583,4,4,5,4,4,4,3,5,LessEmployable
Student 1584,5,3,5,4,5,5,3,5,Employable
Student 1585,5,3,3,3,3,3,2,5,Employable
Student 1586,4,3,4,3,4,3,4,4,Employable
Student 1587,4,3,4,4,4,3,3,3,Employable
Student 1588,4,3,3,2,3,2,3,4,Employable
Student 1589,5,5,5,5,5,5,4,5,LessEmployable
Student 1590,4,3,4,3,4,3,4,5,LessEmployable
Student 1591,3,3,4,4,4,3,3,4,LessEmployable
Student 1592,4,3,4,4,4,3,3,5,Employable
Student 1593,4,4,4,4,4,3,3,5,Employable
Student 1594,4,4,5,5,4,5,5,5,LessEmployable
Student 1595,4,5,5,5,5,4,5,5,Employable
Student 1596,4,5,5,5,5,4,5,5,Employable
Student 1597,4,4,3,4,4,4,4,5,LessEmployable
Student 1598,4,3,4,4,4,3,3,4,LessEmployable
Student 1599,4,3,4,4,3,4,4,5,LessEmployable
Student 1600,3,3,4,4,4,4,4,5,LessEmployable
Student 1601,5,4,4,4,5,4,5,5,LessEmployable
Student 1602,3,3,3,3,4,3,3,3,Employable
Student 1603,3,3,4,3,4,3,3,3,Employable
Student 1604,3,4,3,4,3,4,3,5,Employable
Student 1605,4,4,4,3,4,4,3,4,LessEmployable
Student 1606,5,4,4,3,3,4,4,4,LessEmployable
Student 1607,4,3,2,4,3,4,3,5,LessEmployable
Student 1608,5,5,5,4,5,4,5,5,LessEmployable
Student 1609,4,2,4,4,3,3,3,5,LessEmployable
Student 1610,5,5,5,5,5,5,5,5,LessEmployable
Student 1611,4,3,3,4,3,3,3,3,Employable
Student 1612,5,4,3,3,3,3,2,3,LessEmployable
Student 1613,5,5,5,5,5,4,5,5,Employable
Student 1614,4,5,5,5,5,5,5,3,LessEmployable
Student 1615,4,5,5,3,3,5,3,5,LessEmployable
Student 1616,4,5,3,5,5,5,3,5,Employable
Student 1617,3,5,5,3,5,5,3,5,Employable
Student 1618,3,3,3,3,3,3,3,5,Employable
Student 1619,4,3,4,4,4,3,3,5,Employable
Student 1620,4,3,4,2,2,2,2,5,LessEmployable
Student 1621,3,2,3,3,3,3,3,5,LessEmployable
Student 1622,5,5,4,5,4,5,4,5,LessEmployable
Student 1623,3,4,3,4,3,4,3,5,Employable
Student 1624,4,3,3,3,3,3,3,5,Employable
Student 1625,5,4,4,4,4,4,4,5,Employable
Student 1626,4,4,4,4,4,4,4,4,Employable
Student 1627,4,4,4,4,3,3,3,5,LessEmployable
Student 1628,5,4,5,5,5,5,4,5,LessEmployable
Student 1629,3,4,3,3,3,3,3,5,LessEmployable
Student 1630,4,3,3,3,3,3,3,5,Employable
Student 1631,4,5,4,4,4,4,4,5,LessEmployable
Student 1632,5,4,4,4,4,4,4,5,Employable
Student 1633,5,5,4,5,4,4,5,4,Employable
Student 1634,4,4,4,4,5,5,5,3,Employable
Student 1635,4,3,3,4,3,3,3,5,LessEmployable
Student 1636,4,5,5,5,4,4,4,5,Employable
Student 1637,4,4,4,3,3,4,3,5,Employable
Student 1638,4,4,4,3,3,4,3,5,Employable
Student 1639,4,5,4,5,5,5,5,5,Employable
Student 1640,4,4,4,4,4,4,3,5,Employable
Student 1641,4,3,3,3,3,3,2,5,LessEmployable
Student 1642,3,3,3,2,3,3,3,5,LessEmployable
Student 1643,4,4,3,3,4,4,3,5,Employable
Student 1644,4,4,3,3,3,3,3,5,Employable
Student 1645,4,4,4,3,3,3,3,3,Employable
Student 1646,5,3,3,4,3,3,3,5,Employable
Student 1647,4,4,4,4,4,4,4,5,Employable
Student 1648,4,4,3,4,3,4,4,5,Employable
Student 1649,5,5,5,5,5,5,4,5,LessEmployable
Student 1650,3,4,4,4,3,4,4,5,Employable
Student 1651,4,3,3,2,3,3,2,5,LessEmployable
Student 1652,3,3,3,3,3,2,2,4,LessEmployable
Student 1653,4,4,3,4,4,4,3,5,LessEmployable
Student 1654,3,3,3,3,3,3,3,4,LessEmployable
Student 1655,5,3,3,3,3,3,3,4,LessEmployable
Student 1656,4,4,4,4,4,4,4,5,LessEmployable
Student 1657,4,4,4,5,5,4,4,5,LessEmployable
Student 1664,5,5,4,4,5,5,4,3,Employable
Student 1665,4,4,4,4,3,3,3,3,LessEmployable
Student 1666,5,5,5,5,5,4,4,3,Employable
Student 1667,5,4,4,4,4,5,4,5,Employable
Student 1668,5,5,5,5,5,5,4,5,Employable
Student 1669,4,3,4,4,3,4,3,5,LessEmployable
Student 1670,4,3,4,4,3,3,3,3,LessEmployable
Student 1671,5,5,4,5,5,4,4,5,LessEmployable
Student 1672,4,4,4,5,5,4,3,5,LessEmployable
Student 1673,5,4,5,5,5,5,5,5,Employable
Student 1674,5,3,3,4,5,3,3,3,Employable
Student 1675,5,5,5,5,4,5,4,5,Employable
Student 1676,5,5,4,5,4,5,5,5,Employable
Student 1677,4,4,3,3,3,4,4,3,LessEmployable
Student 1678,5,5,5,5,5,4,4,5,Employable
Student 1679,5,5,5,5,5,4,4,5,Employable
Student 1680,5,4,5,5,5,4,4,3,Employable
Student 1681,5,4,5,5,5,4,4,5,Employable
Student 1682,4,3,4,3,4,3,3,5,LessEmployable
Student 1683,5,4,5,5,4,4,4,5,LessEmployable
Student 1684,5,3,4,4,3,4,3,5,LessEmployable
Student 1685,5,3,3,3,4,3,3,3,LessEmployable
Student 1686,5,4,5,5,5,4,4,5,Employable
Student 1687,5,5,5,5,5,4,4,3,Employable
Student 1688,5,4,5,5,5,4,4,5,Employable
Student 1689,5,5,5,5,5,5,4,5,Employable
Student 1690,5,4,5,5,5,4,4,5,Employable
Student 1691,5,5,5,5,5,5,4,5,Employable
Student 1692,5,4,5,5,4,4,4,3,Employable
Student 1693,5,3,4,4,4,4,3,5,LessEmployable
Student 1694,4,4,4,4,3,4,4,5,LessEmployable
Student 1696,4,5,4,4,4,5,4,5,Employable
Student 1697,4,3,3,3,3,3,3,5,Employable
Student 1698,4,4,4,4,5,4,4,5,LessEmployable
Student 1699,3,3,3,4,3,3,3,5,Employable
Student 1700,4,4,4,3,4,4,3,5,Employable
Student 1701,4,4,4,3,4,4,3,4,LessEmployable
Student 1702,4,4,4,4,4,4,3,4,Employable
Student 1703,3,3,3,4,4,4,3,5,Employable
Student 1704,5,5,3,5,4,4,3,5,Employable
Student 1705,4,4,4,4,4,4,3,5,Employable
Student 1706,4,5,5,5,5,5,5,5,Employable
Student 1707,4,4,4,4,4,4,4,4,Employable
Student 1708,4,3,3,3,3,3,3,5,Employable
Student 1709,3,4,3,4,3,4,3,5,Employable
Student 1710,4,4,4,4,4,4,4,5,LessEmployable
Student 1711,4,3,3,3,4,3,4,5,LessEmployable
Student 1712,4,4,4,4,3,4,3,4,Employable
Student 1713,3,4,4,4,3,4,3,5,Employable
Student 1714,5,4,4,4,4,4,4,5,Employable
Student 1715,4,4,4,3,3,4,4,5,Employable
Student 1716,3,4,4,3,4,4,3,5,LessEmployable
Student 1717,4,3,2,3,2,2,3,5,Employable
Student 1718,4,3,4,3,4,3,3,4,Employable
Student 1719,4,4,3,4,3,4,3,5,LessEmployable
Student 1720,4,4,4,4,3,3,3,5,Employable
Student 1721,5,3,3,4,3,3,3,4,LessEmployable
Student 1722,4,3,3,3,3,3,2,5,Employable
Student 1723,3,4,4,4,4,4,4,5,Employable
Student 1724,4,5,4,5,4,4,4,5,Employable
Student 1725,4,4,4,3,4,4,3,5,LessEmployable
Student 1726,4,4,4,4,3,4,4,5,Employable
Student 1727,5,5,5,5,5,5,4,5,Employable
Student 1728,3,3,3,3,3,2,2,4,Employable
Student 1729,4,4,4,4,4,4,3,5,LessEmployable
Student 1730,4,4,4,4,4,4,4,5,LessEmployable
Student 1731,4,3,3,3,3,3,2,5,Employable
Student 1732,5,4,4,4,4,4,4,4,Employable
Student 1733,3,3,3,3,3,3,3,5,LessEmployable
Student 1734,4,3,4,3,3,3,3,5,Employable
Student 1735,4,3,4,3,3,3,2,5,Employable
Student 1736,2,2,3,3,3,3,3,5,LessEmployable
Student 1737,4,4,3,4,3,4,3,4,LessEmployable
Student 1738,4,4,4,3,3,4,3,5,Employable
Student 1739,4,4,5,4,4,4,4,5,LessEmployable
Student 1740,5,4,4,4,4,3,3,5,LessEmployable
Student 1741,4,4,4,4,3,4,3,5,LessEmployable
Student 1742,4,4,4,4,4,4,4,5,LessEmployable
Student 1743,4,5,4,4,4,4,4,5,LessEmployable
Student 1744,5,5,4,5,5,5,5,5,Employable
Student 1745,4,4,4,4,4,4,4,5,Employable
Student 1746,5,4,4,4,4,4,3,4,LessEmployable
Student 1747,5,4,4,4,4,4,3,3,LessEmployable
Student 1748,5,5,4,4,5,4,5,3,LessEmployable
Student 1749,5,4,4,4,4,4,3,5,Employable
Student 1750,5,4,4,4,4,4,3,5,Employable
Student 1751,5,5,4,4,5,4,4,5,Employable
Student 1752,4,3,4,4,4,3,3,4,Employable
Student 1753,5,4,3,3,3,4,4,5,LessEmployable
Student 1754,5,5,5,5,5,5,5,5,Employable
Student 1755,5,4,5,5,5,5,4,5,Employable
Student 1756,5,4,5,5,5,5,4,5,Employable
Student 1757,5,3,5,4,4,3,3,5,Employable
Student 1758,5,4,5,5,5,4,4,4,Employable
Student 1759,5,3,5,4,4,4,3,4,LessEmployable
Student 1760,5,5,5,5,5,4,3,4,Employable
Student 1761,5,5,5,5,5,5,3,5,Employable
Student 1762,5,4,4,4,4,4,4,5,LessEmployable
Student 1763,4,3,4,4,4,3,3,5,LessEmployable
Student 1764,4,4,4,4,4,4,3,5,LessEmployable
Student 1765,4,4,5,4,4,4,3,5,LessEmployable
Student 1766,5,3,5,4,5,5,3,5,Employable
Student 1767,5,3,3,3,3,3,2,5,Employable
Student 1768,4,3,4,3,4,3,4,4,Employable
Student 1769,4,3,4,4,4,3,3,3,Employable
Student 1770,4,3,3,2,3,2,3,4,Employable
Student 1771,5,5,5,5,5,5,4,5,LessEmployable
Student 1772,4,3,4,3,4,3,4,5,LessEmployable
Student 1773,3,3,4,4,4,3,3,4,LessEmployable
Student 1774,4,3,4,4,4,3,3,5,Employable
Student 1775,4,4,4,4,4,3,3,5,Employable
Student 1776,4,4,5,5,4,5,5,5,LessEmployable
Student 1777,4,5,5,5,5,4,5,5,Employable
Student 1778,4,5,5,5,5,4,5,5,Employable
Student 1779,4,4,3,4,4,4,4,5,LessEmployable
Student 1780,4,3,4,4,4,3,3,4,LessEmployable
Student 1781,4,3,4,4,3,4,4,5,LessEmployable
Student 1782,3,3,4,4,4,4,4,5,LessEmployable
Student 1783,5,4,4,4,5,4,5,5,LessEmployable
Student 1784,3,3,3,3,4,3,3,3,Employable
Student 1785,3,3,4,3,4,3,3,3,Employable
Student 1786,3,4,3,4,3,4,3,5,Employable
Student 1787,4,4,4,3,4,4,3,4,LessEmployable
Student 1788,5,4,4,3,3,4,4,4,LessEmployable
Student 1789,4,3,2,4,3,4,3,5,LessEmployable
Student 1790,5,5,5,4,5,4,5,5,LessEmployable
Student 1791,4,2,4,4,3,3,3,5,LessEmployable
Student 1792,5,5,5,5,5,5,5,5,LessEmployable
Student 1793,4,3,3,4,3,3,3,3,Employable
Student 1794,5,4,3,3,3,3,2,3,LessEmployable
Student 1795,5,5,5,5,5,4,5,5,Employable
Student 1796,4,5,5,5,5,5,5,3,LessEmployable
Student 1797,4,5,5,3,3,5,3,5,LessEmployable
Student 1798,4,5,3,5,5,5,3,5,Employable
Student 1799,3,5,5,3,5,5,3,5,Employable
Student 1800,3,3,3,3,3,3,3,5,Employable
Student 1801,4,3,4,4,4,3,3,5,Employable
Student 1802,4,3,4,2,2,2,2,5,LessEmployable
Student 1803,3,2,3,3,3,3,3,5,LessEmployable
Student 1804,5,5,4,5,4,5,4,5,LessEmployable
Student 1805,3,4,3,4,3,4,3,5,Employable
Student 1806,4,3,3,3,3,3,3,5,Employable
Student 1807,5,4,4,4,4,4,4,5,Employable
Student 1808,4,4,4,4,4,4,4,4,Employable
Student 1809,4,4,4,4,3,3,3,5,LessEmployable
Student 1810,5,4,5,5,5,5,4,5,LessEmployable
Student 1811,3,4,3,3,3,3,3,5,LessEmployable
Student 1812,4,3,3,3,3,3,3,5,Employable
Student 1813,4,5,4,4,4,4,4,5,LessEmployable
Student 1814,5,4,4,4,4,4,4,5,Employable
Student 1815,5,5,4,5,4,4,5,4,Employable
Student 1816,4,4,4,4,5,5,5,3,Employable
Student 1817,4,3,3,4,3,3,3,5,LessEmployable
Student 1818,4,5,5,5,4,4,4,5,Employable
Student 1819,4,4,4,3,3,4,3,5,Employable
Student 1820,4,4,4,3,3,4,3,5,Employable
Student 1821,4,5,4,5,5,5,5,5,Employable
Student 1822,4,4,4,4,4,4,3,5,Employable
Student 1823,4,3,3,3,3,3,2,5,LessEmployable
Student 1824,3,3,3,2,3,3,3,5,LessEmployable
Student 1825,4,4,3,3,4,4,3,5,Employable
Student 1826,4,4,3,3,3,3,3,5,Employable
Student 1827,4,4,4,3,3,3,3,3,Employable
Student 1828,5,3,3,4,3,3,3,5,Employable
Student 1829,4,4,4,4,4,4,4,5,Employable
Student 1830,4,4,3,4,3,4,4,5,Employable
Student 1831,5,5,5,5,5,5,4,5,LessEmployable
Student 1832,3,4,4,4,3,4,4,5,Employable
Student 1833,4,3,3,2,3,3,2,5,LessEmployable
Student 1834,3,3,3,3,3,2,2,4,LessEmployable
Student 1835,4,4,3,4,4,4,3,5,LessEmployable
Student 1836,3,3,3,3,3,3,3,4,LessEmployable
Student 1837,5,3,3,3,3,3,3,4,LessEmployable
Student 1838,4,4,4,4,4,4,4,5,LessEmployable
Student 1839,4,4,4,5,5,4,4,5,LessEmployable
Student 1840,4,3,3,4,5,4,3,5,LessEmployable
Student 1841,5,4,5,4,4,4,4,5,Employable
Student 1842,5,4,4,4,4,4,4,3,Employable
Student 1843,5,4,5,5,5,5,4,5,Employable
Student 1844,4,3,3,3,5,3,3,3,LessEmployable
Student 1845,5,5,5,5,5,4,4,4,Employable
Student 1846,5,5,4,4,5,5,4,3,Employable
Student 1847,4,4,4,4,3,3,3,3,LessEmployable
Student 1848,5,5,5,5,5,4,4,3,Employable
Student 1849,5,4,4,4,4,5,4,5,Employable
